Country/Region,Lat,Long,deaths
China,26.0789,117.9874,1
China,44.0935,113.9448,1
China,27.614,115.7221,1
China,29.1832,120.0934,1
Fiji,-17.7134,178.065,1
Liechtenstein,47.14,9.55,1
Netherlands,12.1696,-68.99,1
United Kingdom,19.3133,-81.2546,1
United Kingdom,16.742498,-62.187366,1
Canada,0,0,1
United Kingdom,18.4207,-64.64,1
Burundi,-3.3731,29.9189,1
Western Sahara,24.2155,-12.8858,1
Canada,46.5653,-66.4619,2
China,35.7518,104.2861,2
China,23.8298,108.7881,2
China,26.8154,106.8748,2
China,43.6661,126.1923,2
China,41.2956,122.6085,2
China,24.974,101.487,2
Belize,17.1899,-88.4976,2
United Kingdom,21.694,-71.7979,2
MS Zaandam,0,0,2
Botswana,-22.3285,24.6849,2
Antigua and Barbuda,17.0608,-61.7964,3
Australia,-35.4735,149.0124,3
Brunei,4.5353,114.7277,3
Canada,53.1355,-57.6604,3
China,35.1917,108.8701,3
China,30.6171,102.7103,3
China,39.3054,117.323,3
China,41.1129,85.2401,3
France,18.0708,-63.0501,3
Netherlands,12.5211,-69.9683,3
Papua New Guinea,-6.314993,143.95555,3
Australia,-34.9285,138.6007,4
China,27.6104,111.7088,4
Monaco,43.7333,7.4167,4
France,-21.1151,55.5364,5
Australia,-27.4698,153.0251,6
China,31.8257,117.2264,6
China,30.0572,107.874,6
China,19.1959,109.7453,6
China,39.549,116.1306,6
Burma,21.9162,95.956,6
Barbados,13.1939,-59.5432,7
China,36.3427,118.1498,7
China,31.202,121.4491,7
Rwanda,-1.9403,29.8739,7
Taiwan*,23.7,121,7
Uganda,1.373333,32.290275,7
Comoros,-11.6455,43.3333,7
Canada,53.7609,-98.8139,8
China,23.3417,113.4244,8
Trinidad and Tobago,10.6918,-61.2225,8
Australia,-31.9505,115.8605,9
China,40.1824,116.4142,9
Malta,35.9375,14.3754,9
United Kingdom,32.3078,-64.7505,9
Iceland,64.9631,-19.0208,10
Mauritius,-20.348404,57.552152,10
Jordan,31.24,36.51,11
Sri Lanka,7.873054,80.771797,11
Australia,-42.8821,147.3272,13
China,47.862,127.7615,13
Diamond Princess,0,0,13
Vietnam,14.058324,108.277199,13
France,16.265,-61.551,14
Jamaica,18.1096,-77.2975,14
Bahamas,25.025885,-78.035889,15
Sao Tome and Principe,0.1864,6.6131,15
France,14.6415,-61.0242,16
Mozambique,-18.665695,35.529562,16
Georgia,42.3154,43.3569,17
Netherlands,18.0425,-63.0548,17
Cyprus,35.1264,33.4299,19
Maldives,3.2028,73.2207,19
Namibia,-22.9576,18.4904,19
Canada,52.9399,-106.4509,20
Tanzania,-6.369028,34.888822,21
China,37.8957,114.9042,22
Guyana,4.860416,-58.93018,22
New Zealand,-40.9006,174.886,22
Gambia,13.4432,-15.3101,23
Togo,8.6195,0.8248,23
Lesotho,-29.61,28.2336,23
United Kingdom,54.2361,-4.5481,24
Singapore,1.2833,103.8333,27
Suriname,3.9193,-56.0278,29
Guinea-Bissau,11.8037,-15.1804,29
Slovakia,48.669,19.699,31
Cabo Verde,16.5388,-23.0418,32
Latvia,56.8796,24.6032,32
Uruguay,-32.5228,-55.7658,37
Benin,9.3077,2.3158,38
France,-12.8275,45.166244,39
San Marino,43.9424,12.4578,42
United Kingdom,49.3723,-2.3644,47
South Sudan,6.877,31.307,47
France,3.9339,-53.1258,48
Australia,-33.8688,151.2093,50
Guinea,9.9456,-9.6966,50
Gabon,-0.8037,11.6094,51
Tunisia,33.886917,9.537499,51
Andorra,42.5063,1.5218,52
China,22.3,114.2,52
Syria,34.802075,38.996815,52
Burkina Faso,12.2383,-1.5616,54
Congo (Brazzaville),-0.228,15.8277,58
Eswatini,-26.5225,31.4659,58
Thailand,15.870032,100.992541,58
Djibouti,11.8251,42.5903,59
Central African Republic,6.6111,20.9394,60
Tajikistan,38.861,71.2761,62
Estonia,58.5953,25.0136,63
Canada,44.682,-63.7443,64
Montenegro,42.708678,19.37439,64
Sierra Leone,8.460555,-11.779889,68
Niger,17.607789,8.081666,69
Angola,-11.2027,17.8739,75
Nepal,28.1667,84.25,75
Paraguay,-23.4425,-58.4438,75
Chad,15.4542,18.7322,76
Lebanon,33.8547,35.8623,78
Liberia,6.428055,-9.429499,79
Lithuania,55.1694,23.8813,81
Equatorial Guinea,1.6508,10.2679,83
Cuba,21.521757,-77.781167,88
Somalia,5.152149,46.199616,93
West Bank and Gaza,31.9522,35.2332,97
Zimbabwe,-19.015438,29.154857,104
Cote d'Ivoire,7.54,-5.5471,105
Libya,26.3351,17.228331,119
Luxembourg,49.8153,6.1296,120
Nicaragua,12.865416,-85.207229,123
Malaysia,4.210484,101.975766,125
Mali,17.570692,-3.996166,125
Slovenia,46.1512,14.9955,127
Malawi,-13.2543,34.3015,146
Madagascar,-18.766947,46.869107,148
Croatia,45.1,15.2,157
Mauritania,21.0079,-10.9408,157
Bahrain,26.0275,50.55,162
Haiti,18.9712,-72.2852,183
Qatar,25.3548,51.1839,184
Uzbekistan,41.377491,64.585262,194
Canada,53.7267,-127.6476,195
Albania,41.1533,20.1683,199
Canada,53.9333,-116.5765,208
Greece,39.0742,21.8243,212
Ghana,7.9465,-1.0232,215
Venezuela,6.4238,-66.5897,223
Congo (Kinshasa),-4.0383,21.7587,224
Australia,-37.8136,144.9631,228
Senegal,14.4974,-14.4524,232
Costa Rica,9.7489,-83.7534,235
Zambia,-13.133897,27.849332,235
Norway,60.472,8.4689,256
Kosovo,42.602636,20.902977,303
"Korea, South",35.907757,127.766922,305
Finland,61.92411,25.748151,331
United Arab Emirates,23.424076,53.847818,357
Czechia,49.8175,15.473,390
Bosnia and Herzegovina,43.9159,17.6791,394
Cameroon,3.848,11.5021,395
Ethiopia,9.145,40.4897,407
Kenya,-0.0236,37.9062,420
Bulgaria,42.7339,25.4858,447
Kuwait,29.31166,47.481766,478
Azerbaijan,40.1431,47.5769,490
Morocco,31.7917,-7.0926,498
Oman,21.512583,55.923255,513
Yemen,15.552727,48.516388,515
North Macedonia,41.6086,21.7453,527
El Salvador,13.7942,-88.8965,549
Belarus,53.7098,27.9534,587
Israel,31.046051,34.851612,600
Hungary,47.1625,19.5033,602
Denmark,56.2639,9.5018,617
Serbia,44.0165,21.0059,641
Austria,47.5162,14.5501,721
Sudan,12.8628,30.2176,781
Armenia,40.0691,45.0382,791
Moldova,47.4116,28.3699,845
Nigeria,9.082,8.6753,945
Japan,36.204824,138.252924,1047
Kazakhstan,48.0196,66.9237,1058
Algeria,28.0339,1.6596,1302
Dominican Republic,18.7357,-70.1627,1309
Afghanistan,33.93911,67.709953,1312
Kyrgyzstan,41.20438,74.766098,1468
Honduras,15.2,-86.2419,1495
Panama,8.538,-80.7821,1639
Portugal,39.3999,-8.2245,1756
Ireland,53.1424,-7.6921,1772
Poland,51.9194,19.1451,1807
Ukraine,48.3794,31.1656,1925
Switzerland,46.8182,8.2275,1986
Guatemala,15.7835,-90.2308,2211
Philippines,12.879721,121.774017,2270
Romania,45.9432,24.9668,2700
Canada,51.2538,-85.3232,2832
Saudi Arabia,23.885942,45.079162,3167
Bangladesh,23.685,90.3563,3399
Bolivia,-16.2902,-63.5887,3640
China,30.9756,112.2707,4512
Argentina,-38.4161,-63.6167,4606
Egypt,26.820553,30.802498,5009
Iraq,33.223191,43.679291,5392
Canada,52.9399,-73.5491,5695
Indonesia,-0.7893,113.9213,5723
Sweden,60.128161,18.643501,5763
Turkey,38.9637,35.2433,5844
Ecuador,-1.8312,-78.1834,5922
Pakistan,30.3753,69.3451,6082
Netherlands,52.1326,5.2913,6157
Germany,51.165691,10.451526,9202
Belgium,50.8333,4.469936,9872
Chile,-35.6751,-71.543,10077
South Africa,-30.5595,22.9375,10408
Colombia,4.5709,-74.2973,12842
Russia,61.52401,105.318756,14903
Iran,32.427908,53.688046,18427
Peru,-9.19,-75.0152,21072
Spain,40.463667,-3.74922,28503
France,46.2276,2.2137,30202
Italy,41.87194,12.56738,35205
India,20.593684,78.96288,44386
United Kingdom,55.3781,-3.436,46574
Mexico,23.6345,-102.5528,52298
Brazil,-14.235,-51.9253,101049
US,40,-100,162938